mapping_id,legacy_doc,legacy_field,legacy_semantics,target_object,target_field_or_concept,canonical_status,transformation_type,semantic_change,override_reference,notes
MAP-0148,SEMI-PRICE-LEDGER_v1.0_SCHEMA,Action_Confidence,action confidence,EVIDENCE,confidence,CANONICAL,SPLIT,NO,,
MAP-0149,SEMI-PRICE-LEDGER_v1.0_SCHEMA,Raw_Provider,provider identity,PRICE-DATASET-MANIFEST,provider,CANONICAL,SPLIT,NO,,
MAP-0150,SEMI-PRICE-LEDGER_v1.0_SCHEMA,Universe_Eligible_Flag,legacy price-contained eligibility,Legacy retention only; GENERATED derivation later,non-authoritative legacy field,GENERATED/LEGACY_ONLY,DO_NOT_MAP_AS_PRICE_AUTHORITY,NO — storage-boundary change only,Override D,Must not become authoritative PRICE-CANONICAL field.
MAP-0151,SEMI-SOURCE-INDEX,Retrieval Order,LLM retrieval routing rule,DATA-ROUTE,retrieval rule,CANONICAL,STRUCTURAL_SPLIT,NO,,
MAP-0152,SEMI-SOURCE-INDEX,Company / KRX,company reference,COMPANY-IDENTITY,company_id/krx_code reference,CANONICAL,STRUCTURAL_SPLIT,NO,,
MAP-0153,SEMI-SOURCE-INDEX,Aliases,company aliases,COMPANY-IDENTITY,aliases,CANONICAL,STRUCTURAL_SPLIT,NO,,
MAP-0154,SEMI-SOURCE-INDEX,DART/KIND identifiers,source locator,SOURCE-REGISTRY,locator,CANONICAL,STRUCTURAL_SPLIT,NO,,
MAP-0155,SEMI-SOURCE-INDEX,Official URL,source locator,SOURCE-REGISTRY,official locator,CANONICAL,STRUCTURAL_SPLIT,NO,,
MAP-0156,SEMI-SOURCE-INDEX,Keywords,search metadata,SOURCE-REGISTRY; LLM FLAT VIEW,search metadata,CANONICAL,STRUCTURAL_SPLIT,NO,,Generated flat view later.
MAP-0157,Samsung Future Technology v1.1,__BASELINE_DISPOSITION__,Narrative technology baseline,TECHNOLOGY-BASELINE,narrative preservation; selected stable table extraction later,CANONICAL BASELINE,FORMAT_CONVERSION,NO,,P2; no forced over-structuring.
MAP-0158,Future System Architecture v1.0,__BASELINE_DISPOSITION__,Narrative system/memory baseline,TECHNOLOGY-BASELINE,narrative preservation; selected glossary/matrix later,CANONICAL BASELINE,FORMAT_CONVERSION,NO,,P2.
MAP-0159,CAPEX Early-Revenue Map v1.0,__BASELINE_DISPOSITION__,CAPEX timing baseline,CAPEX-BASELINE,narrative preservation; stable timing tables later,CANONICAL BASELINE,FORMAT_CONVERSION,NO,,P2.
MAP-0160,SK Hynix CAPEX Report v0,__BASELINE_DISPOSITION__,working scenario baseline,CAPEX-BASELINE,narrative preservation; assumptions stay tagged,CANONICAL BASELINE,FORMAT_CONVERSION,NO,,P2.
MAP-0161,TOP38 Scorecard v2.2,__BASELINE_DISPOSITION__,legacy model/score baseline,MODEL-DEFINITION; MODEL-SCORE DEFERRED,methodology may structure now; scores deferred pending PIT binding,CANONICAL / DEFERRED,STRUCTURAL_SPLIT / DEFERRED,NO,,P1; historical score promotion deferred.
