"company_no","supplied_name","canonical_name","KRX_code","group","company_id","working_membership_source","seed_supply_axis","company_id_binding_status","identity_status","entity_resolution_status","F1_status","listing_history_status","tradability_history_status","business_priority_history_status","price_coverage_status","bp_ready_windows","bp_partial_windows","bp_unresolved_windows","listing_ready_windows","listing_unresolved_windows","outer_universe_provenance_status","authoritative_freeze_status"
81,"티에프이","티에프이","425420","U81","KRX:425420","U127_v0.8 U81_F1","테스트 인터페이스","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
82,"샘씨엔에스","샘씨엔에스","252990","U81","KRX:252990","U127_v0.8 U81_F1","Probe Card 세라믹 부품","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
83,"마이크로컨텍솔","마이크로컨텍솔","098120","U81","KRX:098120","U127_v0.8 U81_F1","Test Socket","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
84,"프로텍","프로텍","053610","U81","KRX:053610","U127_v0.8 U81_F1","후공정/디스펜싱 장비","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
85,"제이티","제이티","089790","U81","KRX:089790","U127_v0.8 U81_F1","후공정/검사·핸들러","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
86,"아이엠티","아이엠티","451220","U81","KRX:451220","U127_v0.8 U81_F1","세정/공정 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
87,"제우스","제우스","079370","U81","KRX:079370","U127_v0.8 U81_F1","세정/자동화 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
88,"예스티","예스티","122640","U81","KRX:122640","U127_v0.8 U81_F1","열처리/Chiller 장비","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
89,"엘오티베큠","엘오티베큠","083310","U81","KRX:083310","U127_v0.8 U81_F1","진공펌프","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
90,"뉴파워프라즈마","뉴파워프라즈마","144960","U81","KRX:144960","U127_v0.8 U81_F1","플라즈마/RF 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
91,"한양이엔지","한양이엔지","045100","U81","KRX:045100","U127_v0.8 U81_F1","Fab Utility/CCSS","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
92,"싸이맥스","싸이맥스","160980","U81","KRX:160980","U127_v0.8 U81_F1","웨이퍼 이송/자동화","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
93,"제닉스로보틱스","제닉스로보틱스","381620","U81","KRX:381620","U127_v0.8 U81_F1","AMHS/자동화","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
94,"세미티에스","세미티에스","0017J0","U81","KRX:0017J0","U127_v0.8 U81_F1","AMHS/Purge","READY","PARTIAL","READY","PARTIAL","PARTIAL","READY","PARTIAL","READY",0,1,7,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
95,"져스텍","져스텍","153890","U81","KRX:153890","U127_v0.8 U81_F1","모션/자동화","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
96,"아이에스티이","아이에스티이","212710","U81","KRX:212710","U127_v0.8 U81_F1","반도체 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
97,"워트","워트","396470","U81","KRX:396470","U127_v0.8 U81_F1","온습도 제어 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
98,"그린리소스","그린리소스","402490","U81","KRX:402490","U127_v0.8 U81_F1","코팅/공정부품","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
99,"제이엔비","제이엔비","452160","U81","KRX:452160","U127_v0.8 U81_F1","진공/공정부품","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
100,"이엔에프테크놀로지","이엔에프테크놀로지","102710","U81","KRX:102710","U127_v0.8 U81_F1","공정 화학소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
101,"램테크놀러지","램테크놀러지","171010","U81","KRX:171010","U127_v0.8 U81_F1","Wet Chemical","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
102,"레이크머티리얼즈","레이크머티리얼즈","281740","U81","KRX:281740","U127_v0.8 U81_F1","Precursor 소재","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
103,"한솔케미칼","한솔케미칼","014680","U81","KRX:014680","U127_v0.8 U81_F1","전자재료/반도체 소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
104,"미코","미코","059090","U81","KRX:059090","U127_v0.8 U81_F1","세라믹 공정부품","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
105,"비씨엔씨","비씨엔씨","146320","U81","KRX:146320","U127_v0.8 U81_F1","합성쿼츠/공정부품","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
106,"한솔아이원스","한솔아이원스","114810","U81","KRX:114810","U127_v0.8 U81_F1","정밀부품/코팅","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
107,"KX하이텍","KX하이텍","052900","U81","KRX:052900","U127_v0.8 U81_F1","반도체 패키지 부품","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
108,"덕산하이메탈","덕산하이메탈","077360","U81","KRX:077360","U127_v0.8 U81_F1","솔더볼/패키지 소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
109,"원익홀딩스","원익홀딩스","030530","U81","KRX:030530","U127_v0.8 U81_F1","Gas Supply 장비","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
110,"제이아이테크","제이아이테크","417500","U81","KRX:417500","U127_v0.8 U81_F1","Precursor 소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
111,"퓨릿","퓨릿","445180","U81","KRX:445180","U127_v0.8 U81_F1","고순도 공정 화학소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
112,"HLB이노베이션","HLB이노베이션","024850","U81","KRX:024850","U127_v0.8 U81_F1","리드프레임/Contact Pin","READY","PARTIAL","READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY",0,1,7,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
113,"티엘비","티엘비","356860","U81","KRX:356860","U127_v0.8 U81_F1","메모리/테스트 PCB","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
114,"메카로","메카로","241770","U81","KRX:241770","U127_v0.8 U81_F1","Precursor/공정부품","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
115,"덕산테코피아","덕산테코피아","317330","U81","KRX:317330","U127_v0.8 U81_F1","Precursor/전자재료","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
116,"에프엔에스테크","에프엔에스테크","083500","U81","KRX:083500","U127_v0.8 U81_F1","CMP Pad/공정 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
117,"아이텍","아이텍","119830","U81","KRX:119830","U127_v0.8 U81_F1","반도체 테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
118,"디아이티","디아이티","110990","U81","KRX:110990","U127_v0.8 U81_F1","레이저 공정 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
119,"로체시스템즈","로체시스템즈","071280","U81","KRX:071280","U127_v0.8 U81_F1","웨이퍼 이송/공정 장비","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
120,"엘티씨","엘티씨","170920","U81","KRX:170920","U127_v0.8 U81_F1","반도체 화학/CMP 소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
121,"위드텍","위드텍","348350","U81","KRX:348350","U127_v0.8 U81_F1","공정 모니터링/계측","READY","PARTIAL","READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY",0,1,7,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
122,"테크엘","테크엘","064520","U81","KRX:064520","U127_v0.8 U81_F1","패키징/테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
123,"디바이스 (구 디바이스이엔지)","디바이스","187870","U81","KRX:187870","U127_v0.8 U81_F1","Wafer/FOUP 세정장비","READY","PARTIAL","READY","NEEDS_RESEARCH","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
124,"성우테크론","성우테크론","045300","U81","KRX:045300","U127_v0.8 U81_F1","검사장비/리드프레임","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
125,"티이엠씨씨엔에스","티이엠씨씨엔에스","241790","U81","KRX:241790","U127_v0.8 U81_F1","케미칼·가스/장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
126,"포인트엔지니어링","포인트엔지니어링","256630","U81","KRX:256630","U127_v0.8 U81_F1","공정부품/표면처리","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,1,7,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
127,"신성이엔지","신성이엔지","011930","U81","KRX:011930","U127_v0.8 U81_F1","클린룸/Fab 인프라","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,1,7,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
